,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
235,dinan,76,ID,1578281917,76,-5.67,132.75,84.42,11.16
236,thompson,76,ID,1578281917,76,-5.67,132.75,84.42,11.16
237,kysyl-syr,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
238,tsienyane,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
239,moussoro,76,ID,1578281923,76,-5.67,132.75,84.42,11.16
240,haines junction,76,ID,1578281923,76,-5.67,132.75,84.42,11.16
241,yushan,76,ID,1578281923,76,-5.67,132.75,84.42,11.16
242,port macquarie,76,ID,1578281923,76,-5.67,132.75,84.42,11.16
243,gueugnon,76,ID,1578281919,76,-5.67,132.75,84.42,11.16
244,college,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
245,talnakh,76,ID,1578281919,76,-5.67,132.75,84.42,11.16
246,pisco,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
247,elko,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
248,birjand,76,ID,1578281919,76,-5.67,132.75,84.42,11.16
249,samarai,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
250,lebu,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
251,marevo,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
252,severo-yeniseyskiy,76,ID,1578281919,76,-5.67,132.75,84.42,11.16
253,chumikan,76,ID,1578281919,76,-5.67,132.75,84.42,11.16
254,seydi,76,ID,1578281917,76,-5.67,132.75,84.42,11.16
255,abu road,76,ID,1578281924,76,-5.67,132.75,84.42,11.16
256,nefteyugansk,76,ID,1578281923,76,-5.67,132.75,84.42,11.16
257,damnagar,76,ID,1578281917,76,-5.67,132.75,84.42,11.16
258,ballybofey,76,ID,1578281919,76,-5.67,132.75,84.42,11.16
259,berbera,76,ID,1578282218,76,-5.67,132.75,84.42,11.16
260,gladstone,76,ID,1578282218,76,-5.67,132.75,84.42,11.16
261,teguise,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
262,hasaki,76,ID,1578281923,76,-5.67,132.75,84.42,11.16
263,kamskiye polyany,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
264,la ronge,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
265,dicabisagan,76,ID,1578282218,76,-5.67,132.75,84.42,11.16
266,lompoc,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
267,warqla,76,ID,1578282227,76,-5.67,132.75,84.42,11.16
268,redondela,76,ID,1578282218,76,-5.67,132.75,84.42,11.16
269,miranorte,76,ID,1578282227,76,-5.67,132.75,84.42,11.16
270,tagusao,76,ID,1578282218,76,-5.67,132.75,84.42,11.16
271,alto araguaia,76,ID,1578282218,76,-5.67,132.75,84.42,11.16
272,namatanai,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
273,bitlis,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
274,kirakira,76,ID,1578282227,76,-5.67,132.75,84.42,11.16
275,lesozavodsk,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
276,brawley,76,ID,1578282227,76,-5.67,132.75,84.42,11.16
277,santa,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
278,kampot,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
279,kiruna,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
280,luderitz,76,ID,1578282227,76,-5.67,132.75,84.42,11.16
281,charagua,76,ID,1578282227,76,-5.67,132.75,84.42,11.16
282,anloga,76,ID,1578282227,76,-5.67,132.75,84.42,11.16
283,chapada dos guimaraes,76,ID,1578282218,76,-5.67,132.75,84.42,11.16
284,dubbo,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
285,sterling,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
286,shache,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
287,cikampek,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
288,vaitupu,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
289,tyukhtet,76,ID,1578282218,76,-5.67,132.75,84.42,11.16
290,slave lake,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
291,dikson,76,ID,1578282227,76,-5.67,132.75,84.42,11.16
292,basco,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
293,tawnat,76,ID,1578282218,76,-5.67,132.75,84.42,11.16
294,hailar,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
295,trinidad,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
296,iquique,76,ID,1578282227,76,-5.67,132.75,84.42,11.16
297,ponta do sol,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
298,kavieng,76,ID,1578282218,76,-5.67,132.75,84.42,11.16
299,gweta,76,ID,1578282227,76,-5.67,132.75,84.42,11.16
300,vardo,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
301,mackay,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
302,nizhneyansk,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
303,gorontalo,76,ID,1578282218,76,-5.67,132.75,84.42,11.16
304,ambilobe,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
305,coihaique,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
306,rubiataba,76,ID,1578282218,76,-5.67,132.75,84.42,11.16
307,alice springs,76,ID,1578282227,76,-5.67,132.75,84.42,11.16
308,krasnoselkup,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
309,okhotsk,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
310,ternate,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
311,mocuba,76,ID,1578282218,76,-5.67,132.75,84.42,11.16
312,zhangjiakou,76,ID,1578282218,76,-5.67,132.75,84.42,11.16
313,yar-sale,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
314,kouroussa,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
315,tual,76,ID,1578282227,76,-5.67,132.75,84.42,11.16
316,dubovka,76,ID,1578282227,76,-5.67,132.75,84.42,11.16
317,liverpool,76,ID,1578282227,76,-5.67,132.75,84.42,11.16
318,portsmouth,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
319,kavaratti,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
320,trofors,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
321,atikokan,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
322,samusu,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
323,baraboo,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
324,lorengau,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
325,belem de sao francisco,76,ID,1578282218,76,-5.67,132.75,84.42,11.16
326,bulgan,76,ID,1578282218,76,-5.67,132.75,84.42,11.16
327,san quintin,76,ID,1578282218,76,-5.67,132.75,84.42,11.16
328,chaoyang,76,ID,1578282218,76,-5.67,132.75,84.42,11.16
329,acapulco,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
330,grand gaube,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
331,derzhavinsk,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
332,teahupoo,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
333,san patricio,76,ID,1578282227,76,-5.67,132.75,84.42,11.16
334,mount gambier,76,ID,1578282218,76,-5.67,132.75,84.42,11.16
335,mayor pablo lagerenza,76,ID,1578282227,76,-5.67,132.75,84.42,11.16
336,praia,76,ID,1578282218,76,-5.67,132.75,84.42,11.16
337,oyama,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
338,tefe,76,ID,1578282227,76,-5.67,132.75,84.42,11.16
339,nabire,76,ID,1578282227,76,-5.67,132.75,84.42,11.16
340,bilibino,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
341,piacabucu,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
342,havoysund,76,ID,1578282227,76,-5.67,132.75,84.42,11.16
343,slavyanka,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
344,nanchang,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
345,pemangkat,76,ID,1578282227,76,-5.67,132.75,84.42,11.16
346,noumea,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
347,green river,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
348,biaora,76,ID,1578282218,76,-5.67,132.75,84.42,11.16
349,rungata,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
350,pakxan,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
351,emba,76,ID,1578282218,76,-5.67,132.75,84.42,11.16
352,luanda,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
353,meadow lake,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
354,gravdal,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
355,honiara,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
356,hami,76,ID,1578282227,76,-5.67,132.75,84.42,11.16
357,porto santo,76,ID,1578282218,76,-5.67,132.75,84.42,11.16
358,ayagoz,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
359,trat,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
360,bednodemyanovsk,76,ID,1578282218,76,-5.67,132.75,84.42,11.16
361,wuzhou,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
362,tashara,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
363,sagone,76,ID,1578282218,76,-5.67,132.75,84.42,11.16
364,chippewa falls,76,ID,1578282218,76,-5.67,132.75,84.42,11.16
365,lunglei,76,ID,1578282227,76,-5.67,132.75,84.42,11.16
366,umarkot,76,ID,1578282218,76,-5.67,132.75,84.42,11.16
367,palana,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
368,kristiansund,76,ID,1578282218,76,-5.67,132.75,84.42,11.16
369,sentyabrskiy,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
370,manono,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
371,tura,76,ID,1578282227,76,-5.67,132.75,84.42,11.16
372,san matias,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
373,meyungs,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
374,benghazi,76,ID,1578282227,76,-5.67,132.75,84.42,11.16
375,dorado,76,ID,1578282227,76,-5.67,132.75,84.42,11.16
376,vega de alatorre,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
377,akropong,76,ID,1578282220,76,-5.67,132.75,84.42,11.16
378,yerbogachen,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
379,eenhana,76,ID,1578282233,76,-5.67,132.75,84.42,11.16
380,salta,76,ID,1578282218,76,-5.67,132.75,84.42,11.16
